2016-10-26 11:58:19,806 | INFO     | bmp_writer | Connected to remote collector: bmp-dev.openbmp.org:5007
2016-10-26 11:58:23,725 | INFO     | bmp_writer | rewrite stopped
2016-10-26 12:00:44,301 | INFO     | bmp_writer | Running bmp_writer
2016-10-26 12:00:44,305 | INFO     | bmp_writer | Connected to remote collector: bmp-dev.openbmp.org:5007
2016-10-26 12:00:48,304 | INFO     | bmp_writer | rewrite stopped
2016-10-26 12:51:48,568 | INFO     | bmp_writer | Running bmp_writer
2016-10-26 12:51:48,646 | INFO     | bmp_writer | Connected to remote collector: bmp-dev.openbmp.org:5007
2016-10-26 12:51:52,572 | INFO     | bmp_writer | rewrite stopped
2016-10-26 12:54:54,415 | INFO     | bmp_writer | Running bmp_writer
2016-10-26 12:54:54,419 | INFO     | bmp_writer | Connected to remote collector: bmp-dev.openbmp.org:5007
2016-10-26 12:54:58,420 | INFO     | bmp_writer | rewrite stopped
2016-10-26 12:56:14,136 | INFO     | bmp_writer | Running bmp_writer
2016-10-26 12:56:14,141 | INFO     | bmp_writer | Connected to remote collector: bmp-dev.openbmp.org:5007
2016-10-26 12:56:18,135 | INFO     | bmp_writer | rewrite stopped
2016-10-26 12:57:33,510 | INFO     | bmp_writer | Running bmp_writer
2016-10-26 12:57:33,514 | INFO     | bmp_writer | Connected to remote collector: bmp-dev.openbmp.org:5007
2016-10-26 12:57:36,859 | INFO     | bmp_writer | rewrite stopped
2016-10-26 13:00:44,351 | INFO     | bmp_writer | Running bmp_writer
2016-10-26 13:00:44,355 | INFO     | bmp_writer | Connected to remote collector: bmp-dev.openbmp.org:5007
2016-10-26 13:00:46,541 | INFO     | bmp_writer | rewrite stopped
2016-10-26 13:02:04,792 | INFO     | bmp_writer | Running bmp_writer
2016-10-26 13:02:04,797 | INFO     | bmp_writer | Connected to remote collector: bmp-dev.openbmp.org:5007
2016-10-26 13:02:06,520 | INFO     | bmp_writer | rewrite stopped
2016-10-26 13:02:57,507 | INFO     | bmp_writer | Running bmp_writer
2016-10-26 13:02:57,510 | INFO     | bmp_writer | Connected to remote collector: bmp-dev.openbmp.org:5007
2016-10-26 13:03:02,718 | INFO     | bmp_writer | rewrite stopped
2016-10-26 13:04:14,525 | INFO     | bmp_writer | Running bmp_writer
2016-10-26 13:04:14,530 | INFO     | bmp_writer | Connected to remote collector: bmp-dev.openbmp.org:5007
2016-10-26 13:04:16,060 | INFO     | bmp_writer | rewrite stopped
2016-10-26 13:04:59,655 | INFO     | bmp_writer | Running bmp_writer
2016-10-26 13:04:59,659 | INFO     | bmp_writer | Connected to remote collector: bmp-dev.openbmp.org:5007
2016-10-26 13:05:00,320 | INFO     | bmp_writer | rewrite stopped
2016-10-26 14:21:37,809 | INFO     | bmp_writer | Running bmp_writer
2016-10-26 14:21:37,889 | INFO     | bmp_writer | Connected to remote collector: bmp-dev.openbmp.org:5007
2016-10-26 14:21:56,626 | INFO     | bmp_writer | rewrite stopped
2016-10-26 14:22:09,318 | INFO     | bmp_writer | Running bmp_writer
2016-10-26 14:22:09,323 | INFO     | bmp_writer | Connected to remote collector: bmp-dev.openbmp.org:5007
2016-10-26 14:22:10,533 | INFO     | bmp_writer | rewrite stopped
2016-10-26 14:50:59,939 | INFO     | bmp_writer | Running bmp_writer
2016-10-26 14:50:59,944 | INFO     | bmp_writer | Connected to remote collector: bmp-dev.openbmp.org:5007
2016-10-26 14:51:00,996 | INFO     | bmp_writer | rewrite stopped
2016-10-26 14:52:19,446 | INFO     | bmp_writer | Running bmp_writer
2016-10-26 14:52:19,693 | INFO     | bmp_writer | Connected to remote collector: bmp-dev.openbmp.org:5007
2016-10-26 14:52:20,385 | INFO     | bmp_writer | rewrite stopped
2016-10-26 14:56:53,613 | INFO     | bmp_writer | Running bmp_writer
2016-10-26 14:56:53,621 | INFO     | bmp_writer | Connected to remote collector: bmp-dev.openbmp.org:5007
2016-10-26 14:56:54,438 | INFO     | bmp_writer | rewrite stopped
2016-10-26 15:36:51,842 | INFO     | bmp_writer | Running bmp_writer
2016-10-26 15:36:51,917 | INFO     | bmp_writer | Connected to remote collector: bmp-dev.openbmp.org:5007
2016-10-26 15:36:53,266 | INFO     | bmp_writer | rewrite stopped
